,id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom,Count of Amenities,price,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,license
1006,9078341,Modern Apartment in De Pijp,47343985,Luka,De Pijp - Rivierenbuurt,52.35117,4.89543,Entire home/apt,2,1.5,44,395,0,0,0,0,4,15,6,5,0363 2419 769C FAC4 F9FF
1007,9103703,Cosy apartment near city center,15073333,Erwin,Oostelijk Havengebied - Indische Buurt,52.36417,4.93963,Entire home/apt,2,1,16,85,0,6,15,25,2,4,82,4.85,0363 BDF5 CDFF 0446 2C39
1008,9104541,The Get Away Studio,4342237,Dani Snow,De Baarsjes - Oud-West,52.36577,4.8613,Private room,2,1,35,78,0,0,0,14,3,1125,281,4.91,03632B04A0B44BF7A6F3
1009,9108470,Bright apartment with a garden,7390838,Pieter,Oostelijk Havengebied - Indische Buurt,52.36008,4.94462,Entire home/apt,4,1,21,125,0,27,57,332,45,1125,20,4.9,0363 D913 25D4 1A59 7280
1010,9135417,Art collectorsâ€™ home in Museum Quarter,6384372,Rein,Zuid,52.34847,4.87634,Private room,2,1,30,112,5,17,47,137,1,7,144,4.91,0363 E87E EA32 13C3 B8AD
1011,9181640,Nice apartment in center of Amsterdam,23060282,Jesse,De Baarsjes - Oud-West,52.37239,4.87172,Private room,2,1,18,107,1,17,37,268,3,100,334,4.57,0363 BF5F B791 42A7 0F98
1012,9186603,Lovely light and spacious apartment with balcony,10144681,Partoe,De Baarsjes - Oud-West,52.36641,4.85251,Entire home/apt,4,1,33,179,0,0,0,0,5,21,48,4.79,0363 B67C 45EA 7024 C159
1013,9197358,Charming apartment next to Rembrandtpark,47842477,Ruben,Slotervaart,52.3654,4.84906,Entire home/apt,2,1,31,120,0,0,0,0,5,28,23,4.73,0363 1008 719F A7B0 4B4D
1014,9247120,Cute apt with garden near Amstel,16768552,Maxime,Oud-Oost,52.35165,4.91358,Entire home/apt,4,1,54,177,2,2,2,2,4,100,74,4.78,0363 2F28 C838 3741 6570
1015,9254675,Brigth and cozy mini apartament,22490099,Viv,Oud-Oost,52.35392,4.91975,Entire home/apt,4,1,18,52,0,0,0,0,27,27,0,0,0363 8ED6 5C8E 078C 803C
1016,9271262,Comfy 90m2 apartment on a great location near RAI!,3825509,Tatjana,De Pijp - Rivierenbuurt,52.34948,4.89065,Entire home/apt,4,1.5,63,190,0,0,0,0,4,30,45,4.91,0363 E7C7 D07D AFF0 0EA7
1017,9272999,Nice room in trendy area near center,48158577,Eva En Tommie,De Baarsjes - Oud-West,52.37226,4.85366,Private room,1,1,19,63,28,58,70,70,3,1125,268,4.14,0
1018,9273467,Spacious room in nice apartment,48158577,Eva En Tommie,De Baarsjes - Oud-West,52.37036,4.85414,Private room,3,1,19,82,22,52,82,357,2,1125,308,4.24,036392028E2B194DC943
1019,9289874,Beautiful | Light| New | Clean apartment 140m2,48236350,Noelle,Slotervaart,52.36773,4.84358,Entire home/apt,4,1.5,26,171,6,6,10,10,2,1125,55,4.78,0363 930E 41EC 6098 FB4D
1020,9292601,Modern,5020644,Jeroen,De Baarsjes - Oud-West,52.37085,4.84896,Entire home/apt,2,1,9,100,0,0,0,0,1,1125,37,4.81,0363 32D8 86AF 5B5E 46FD
1021,9307157,"Luxury city house | Spacious, design & big garden",4910458,Sjoerd & Rosalie,Centrum-West,52.37002,4.87767,Entire home/apt,3,1.5,46,425,4,10,13,13,4,1125,23,4.91,0363 4EDC 6BDF 4463 8437
1022,9308904,Renovated private studio close to the Foodhallen,4230677,Joost,De Baarsjes - Oud-West,52.36366,4.86006,Private room,2,1,11,122,14,25,49,153,1,1125,175,4.61,0363 0AA6 E21D 6C5E 16FB
1023,9310110,Luxurious house at the canals.,9665876,Joram,Centrum-West,52.37821,4.89264,Entire home/apt,4,1.5,63,300,3,7,7,7,5,15,12,4.67,0363 915F 43A1 2E51 FC31
1024,9322953,"Clean, cosy and comfy apartment",48388216,Otto,Zuid,52.34375,4.85807,Entire home/apt,2,1,17,100,0,0,0,0,3,1125,52,4.87,0363 959D CAF9 7113 33DE
1025,9323377,Cozy Studios in Heart of Pijp,47439090,Esther,De Pijp - Rivierenbuurt,52.35068,4.8894,Private room,4,2,16,190,2,16,25,178,2,1125,426,4.91,0306 0515 EBA9 9E10 1CC2
1026,9327973,Lovely home in central south Amsterdam,20021396,Marc,De Pijp - Rivierenbuurt,52.34623,4.89944,Entire home/apt,2,1.5,29,235,0,0,0,0,14,1125,13,4.85,0363 41B9 4D07 A664 FA15
1027,9340964,City center apartment with big garden,48479869,Anne-Jan,Centrum-West,52.38571,4.8833,Entire home/apt,3,1,21,50,0,0,0,0,3,22,17,4.59,0363 4B55 84B3 3CDE 8FA4
1028,9343414,Unique studio Amsterdam centre,10156487,Ralf,Centrum-West,52.37655,4.89249,Private room,4,1,34,109,2,18,43,110,1,1125,127,4.58,0363 2EFC 1D94 9A12 41F6
1029,9343949,LITTLE AMSTEL VIEW,27948402,Suzanne,Oud-Oost,52.35131,4.91388,Private room,2,1.5,24,65,0,0,23,85,4,1125,174,4.93,0363 A8F8 06ED 0589 9ECA
1030,9356764,Black and White Studio,12599782,Greg,De Baarsjes - Oud-West,52.36964,4.84843,Entire home/apt,2,1,12,125,0,0,0,0,2,15,3,4.67,Z211 9657 1900 0000 0000
1031,9360964,Bright apartment in trendy East,26726824,Jara,Oud-Oost,52.35927,4.92427,Entire home/apt,2,1.5,14,102,0,0,0,0,3,20,14,4.69,0363 CAEC 4DBA D7BF 42A5
1032,9410136,charmante privÃ© studio op schip,48790899,Egbert,Oostelijk Havengebied - Indische Buurt,52.3721,4.95047,Private room,2,1,40,106,13,39,53,117,2,1125,353,4.95,0363 37E4 E33D F0CB D2CC
1033,9420691,Amsterdam Museum Area & Vondelpark -Apartment,48842488,Jan,Zuid,52.3561,4.8705,Entire home/apt,2,1,21,115,0,0,0,0,3,14,114,4.94,0363 3BD9 D91A 4588 325C
1034,9444516,Luxurious & Perfect located apartment in Amsterdam,13026743,Laurens,De Baarsjes - Oud-West,52.36757,4.86833,Entire home/apt,2,1.5,56,504,12,41,71,346,4,7,45,4.98,0363 6A60 6933 640D 3B15
1035,9450134,Nice and spacy appartment,20322000,Steven,IJburg - Zeeburgereiland,52.36539,4.98648,Entire home/apt,4,1.5,14,300,0,0,0,0,5,30,0,0,0363 8E2B BCCD 51D4 9CB4
1036,9461010,2-storey apt. with Canal view,49026622,Maaike,Zuid,52.3502,4.88583,Entire home/apt,4,1,34,199,0,0,0,0,5,7,31,4.93,0363 D230 50C7 0A46 2C54
1037,9461142,Stylish house with sunny garden,49027449,Boudewijn,Watergraafsmeer,52.34159,4.92606,Entire home/apt,4,2,17,195,0,0,0,0,3,3,28,4.82,0363 746D 2046 9000 C076
1038,9490497,"Sunny, cosy apartment",7134681,Marie,Bos en Lommer,52.37825,4.84685,Entire home/apt,4,1,32,95,0,0,4,4,3,1125,38,4.89,0363 C306 61CD 1A39 DC87
1039,9509498,Cozy apartment in Amsterdam West,49271865,Koen,Westerpark,52.37543,4.87196,Entire home/apt,2,1,34,130,2,8,8,12,3,1125,23,4.96,0363 1E82 1997 7A62 193E
1040,9509889,Central hub,48791845,Kate,Centrum-West,52.37882,4.89387,Private room,4,1.5,32,158,15,40,70,160,1,1125,284,4.74,0363 1945 F8B6 DC71 998B
1041,9530785,NEW Sunny Spacious City Centre Top Floor Apartment,43932029,Robert,Centrum-Oost,52.36188,4.90062,Entire home/apt,4,1.5,46,500,0,28,58,118,2,365,72,4.92,0363519C24CA6A286581
1042,9536529,Chic & Cosy B&B near the RAI!,1464510,Wendy And Bram,De Pijp - Rivierenbuurt,52.341003,4.903122,Private room,4,1,21,187,0,0,0,0,2,365,43,4.35,0363 D590 5CBD 886E D53E
1043,9538986,Penthouse Van Lennep,4524749,Babette,De Baarsjes - Oud-West,52.36625,4.87423,Entire home/apt,2,1,22,130,0,0,0,183,4,14,19,4.94,0363 DF12 3BC1 B2BA FE1B
1044,9569018,Spacious family house,49538851,Machteld,IJburg - Zeeburgereiland,52.34865,5.01056,Entire home/apt,5,1,11,100,0,0,0,0,2,1125,7,4.43,0363 D8C2 C24A 513E BC59
1045,9584580,City Center - Romantic Room on Houseboat,4172093,Edward,Centrum-Oost,52.36506,4.90209,Private room,2,1.5,28,140,8,25,52,55,3,1125,356,4.96,0363 5EBA D8CF 1C26 A413
1046,9613135,"comfort, private room. Populair area of Amsterdam.",20660883,Nancy,Noord-West,52.41333,4.88338,Private room,2,1.5,23,65,0,0,0,0,2,29,60,4.48,0363 4B93 26A4 B4DC 62F2
1047,9629614,Beautiful and spacious apartment in Amsterdam,12835331,Marcel,Oud-Oost,52.358173,4.913978,Entire home/apt,4,1.5,66,394,8,8,8,8,3,1125,114,4.7,0363 A662 B36D FF90 2D8E
1048,9629640,Private studio at souterrain with garden.,49804687,Willem En Anaatje,De Aker - Nieuw Sloten,52.34274,4.79123,Private room,2,1.5,25,145,3,33,63,335,2,1125,237,4.92,0363F4D71BFA79A99E69
1049,9632913,The Bike Shed On The  Corner Of Two Canals,4091515,Karin,Centrum-Oost,52.36919,4.89745,Private room,2,1,10,146,15,45,72,334,3,1125,270,4.69,0363 E246 20B0 E608 BF76
1050,9637970,"High-end, centrally-located penthouse apartment",49842246,Bart,De Baarsjes - Oud-West,52.37295,4.86492,Entire home/apt,4,1,53,353,0,0,10,12,2,1125,1,5,0363 7EC5 04AA CE7F D852
1051,9641233,Hotel Jansen Amsterdam Vondel 0.01,10076897,Geraldine,Zuid,52.34131,4.84542,Private room,2,1,12,100,0,0,0,0,2,31,20,4.35,0363 7E7D FE23 5A3A 3E55
